w1,w2,w3,w4,color,connection
exploratory,pilot,preliminary,trial,1,experimental
fiddler,jersey,kinky,merrily,2,starts of broadway musicals
pan,parker,piper,rabbit,3,peter ___
accept,believe,buy,trust,0,regard as true
bluff,front,sham,show,1,facade
base,bracket,mount,stand,2,ways to secure a tv
fifth,handle,liter,pint,3,liquor bottle sizes
point,prong,tine,tip,0,slender projections
fair,fine,good,mint,1,conditions for collectibles
business,field,line,trade,2,profession
brazil,butter,dough,pine,3,words before “nut”
giant,mammoth,monster,titanic,0,enormous
avatar,character,figure,persona,1,embodiment
appear,look,seem,sound,2,come across as
castle,hustle,listen,witch,3,silent “t”
auditorium,gym,lab,library,0,school facilities
black,even,odd,red,1,roulette bets
chocolate,peace,pigeon,soap,2,associated with “dove”
golden,grey,mother,silly,3,___ goose
pen,ruler,scissors,tape,0,school supplies
essential,key,principal,staple,1,fundamental
give,hand,pass,send,2,transfer
applause,exit,recording,walk,3,light-up signs
chance,forecast,outlook,prospect,0,future likelihood
journal,log,record,register,0,chronicle
mane,mop,shock,tangle,1,mess of hair
cheer,friend,scrub,weed,2,tv shows minus “s”
fund,hog,maze,trimmer,3,words after “hedge”
pointer,suggestion,tip,trick,0,bit of advice
grit,resolve,spirit,will,1,fortitude
frequent,haunt,patronize,visit,2,spend time at
canine,freight,often,ozone,3,words ending in numbers
condense,freeze,melt,vaporize,0,change states of matter
alternate,backup,cover,sub,1,replacement
copper,hack,shrink,suit,2,slangy names for professions
fantasy,hero,honey,someday,3,mariah carey number one hits
atom,cell,molecule,protein,0,biological building blocks
bottle,crib,mobile,rattle,1,purchases for a baby
jug,saw,spoons,washboard,2,objects played as instruments
dog,freeze,phone,price,3,___ tag
desire,long,pine,yen,0,yearn
fortune,mad,nature,o,1,magazines
bond,m,moneypenny,q,2,characters in bond movies
bubblegum,euro,k,power,3,words that precede pop in music genres
attraction,chemistry,fireworks,sparks,0,romantic rapport
cache,cookies,data,history,1,things stored by a web browser
cycle,lap,revolution,turn,2,single rotation
bar,dinner,liberty,tinker,3,words before “bell”
brainstorm,ideate,spitball,workshop,0,"develop, as ideas"
concrete,material,real,solid,1,tangible
birthday,crumb,marble,pound,2,kinds of cake
curveball,party,tantrum,wrench,3,"things you can throw, in metaphors"
squirrel,stash,store,stow,0,pack (away) for future use
fixed,frozen,liquid,toxic,1,adjectives for assets
caveat,ergo,quid,vox,2,latin words
arcade,blame,numbers,squid,3,_____ game
direct,guide,lead,usher,0,show the way
con,hustle,racket,sting,1,scheme
eagle,pyramid,seal,washington,2,seen on a u.s. dollar bill
british,northwest,nova,prince,3,first words of canadian provinces/territories
adage,chestnut,maxim,saw,0,old saying
charcoal,electric,gas,wood,1,grill fuel sources
ash,cherry,ebony,gum,2,trees
filter,heater,jet,pump,3,hot tub components
to,too,tue,two,0,homophones
couple,tie,unite,wed,1,connect
laid,placed,put,sat,2,placed down
may,sun,wall,wild,3,___flower
clutch,messenger,satchel,tote,0,types of bags
freedom,latitude,license,slack,1,wiggle room
cue,prompt,signal,word,2,indication to proceed
boxer,brief,drawer,short,3,underwear in the singular
chase,hunt,quest,search,0,pursuit
always,kisses,love,yours,1,romantic letter sign-offs
camp,party,side,wing,2,group within a group
bond,leaf,mine,rush,3,gold ___
captain,general,major,private,0,army ranks
jack,outlet,port,socket,1,place to plug something in
appetite,audience,demand,market,2,"consumer desire, collectively"
attack,personal,pop-up,want,3,___ ad
dish,spill,talk,tell,0,"divulge, as private information"
branch,fork,part,split,1,divide
doorknob,knife,topknot,unknown,2,silent “k”
formula,recipe,secret,ticket,3,"key to success, so to speak"
delicate,raw,sensitive,tender,0,sore to the touch
dessert,main,side,starter,1,restaurant courses
bare,dear,mousse,new,2,animal homophones
carpet,delicious,meat,tape,3,red ___
easy,enough,quiet,relax,0,“settle down!”
bug,chill,cold,cough,1,minor ailments
breach,dive,sing,spout,2,what humpback whales do
magic,motor,sin,windy,3,___ city nicknames
chain,series,string,train,0,one thing after another
driver,iron,wedge,wood,1,kinds of golf clubs
birds,fog,omen,ring,2,"horror movies, with “the”"
brat,dog,frank,link,3,words for sausage
ferris wheel,merry-go-round,roller coaster,tilt-a-whirl,0,amusement park rides
clearance,go-ahead,green light,thumbs-up,1,approval
cinderella,david-and-goliath,rags-to-riches,underdog,2,types of come-from-behind stories
bumper-to-bumper,buttermilk,rumpelstiltskin,tailgate,3,beginning with synonyms for rear end
nail,nut,screw,washer,0,bits of hardware
fly,hook,line,sinker,1,fishing gear
chair,dryer,mirror,sink,2,hair salon fixtures
bolt,bug,rod,strike,3,lightning ___
aye,for,pro,yea,0,positions in favor
court,date,see,woo,1,go out with
drove,host,pack,sea,2,multitude
aura,palm,tarot,tea,3,things read in divination
channel,menu,power,volume,0,remote control buttons
block,cover,screen,shield,1,hide from view
cherry,olive,sword,umbrella,2,drink garnishes
casino,diamonds,quantum,tomorrow,3,first word in bond movie titles
mail,post,send,ship,0,"deliver, as a package"
balm,gloss,liner,stain,1,kinds of lip makeup
corner,fix,hole,spot,2,predicament
angle,crime,education,temperature,3,measured in degrees
condition,form,shape,state,0,current situation
bush,country,sticks,woods,1,remote rural area
flamingo,fountain,gnome,pinwheel,2,classic lawn ornaments
fairy,fish,folk,tall,3,___ tale
dunk,floater,layup,three,0,basketball shots
perch,pike,skate,sole,1,fish
body,bounce,lift,volume,2,qualities of thick hair
flower,only,poster,problem,3,___ child
article,essay,paper,report,0,writing assignments
bubble gum,carnation,eraser,flamingo,1,things that are pink
foxtrot,hotel,victor,yankee,2,nato phonetic alphabet
deputy,derek jeter,pencil,silver medal,3,associated with #2
appreciate,dig,fancy,like,0,enjoy
hit,sensation,smash,success,1,blockbuster
button,hat,shirt,sticker,2,campaign swag
cat,editor,paste,that,3,words after “copy”
chinatown,dumbo,manhattan,wall street,0,places in new york city
be kind rewind,e.t.,fright night,kill bill,1,rhyming titles
hedwig and the angry inch,my left foot,the green mile,the longest yard,2,ending in units of measurement
beetlejuice,foxy brown,dogma,octopussy,3,starting with animals
bi,buy,by,bye,0,homophones
ab,pec,quad,tri,1,"muscles, informally"
dub,emo,pop,trap,2,music genres
hi,lo,med,off,3,settings on an appliance knob
crux,essence,heart,substance,0,core
baroque,complex,elaborate,involved,1,complicated
arrow,bullet,checkbox,hyphen,2,symbols used in making lists
angry,betray,crucifix,hybrid,3,what “cross” might mean
bitter,salty,sore,upset,0,feeling some type of way
pepper,scatter,sprinkle,strew,1,throw here and there
cake,earth,onion,plywood,2,things with layers
baked,couch,hot,sweet,3,___ potato
absorb,engross,hold,rivet,0,grab one’s attention
film,record,shoot,tape,1,document with video
pastel,petals,pleats,staple,2,anagrams
good,penny,please,woman,3,pretty ___
conceive,envision,imagine,picture,0,dream up
coat,film,layer,skin,1,thin covering
brush,flick,sweep,wipe,2,"remove, as crumbs"
code,develop,hack,program,3,verbs for a software engineer
drive,prompt,propel,push,0,move to action
draw,reverse,skip,wild,1,uno cards
baseball,grapefruit,marble,pea,2,hail size comparisons
courtroom,dugout,gym,park,3,places with benches
cool,nice,sick,sweet,0,“awesome!”
kind,sort,style,type,1,variety
drift,idea,message,point,2,gist
ring,stick,tender,wing,3,"fried appetizer, informally"
clear,earn,make,net,0,"take home, as income"
beard,hat,robe,staff,1,parts of a wizard costume
bridge,deck,hatch,keel,2,found on a ship
clef,section,span,suite,3,c-___
laser,pluck,thread,wax,0,"remove, as body hair"
coil,spool,wind,wrap,1,twist around
honeycomb,organism,solar panel,spreadsheet,2,things made of cells
ball,movie,school,vitamin,3,b-___
followers,lemmings,puppets,sheep,0,conformists
equity,options,shares,stocks,1,company ownership offers
billings,buffalo,mobile,phoenix,2,u.s. cities
apartment,insults,likes,shovels,3,what “digs” might mean
hurry,now,pronto,stat,0,“don’t delay!”
current,drift,tide,wave,1,ocean phenomena
curl,fly,press,row,2,dumbbell exercises
lock,marks,pane,rustle,3,philosopher homophones
body,canon,oeuvre,works,0,corpus
fuji,hood,olympus,whitney,1,mount ___
insert,jacket,record,sleeve,2,components of an lp
hands,maraca,polaroid,snowglobe,3,things people shake
loot,raid,rob,sack,0,plunder
clout,pull,sway,weight,1,influence
bob,crop,fade,shag,2,hairstyles
bobby,hair,push,safety,3,___ pin
chow,eats,fare,grub,0,food
direct,guide,lead,steer,1,pilot
bully,cow,daunt,rattle,2,intimidate
bull,flea,meat,stock,3,___ market
easy,flexible,open,receptive,0,amenable
evil,live,veil,vile,1,anagrams
amazing,beginner,genius,solid,2,spelling bee ranks
lit,scented,waxy,wicked,3,adjectives for a candle
choice,say,voice,vote,0,agency in decisionmaking
down,heel,shake,speak,1,dog commands
flat,natural,quarter,whole,2,kinds of notes
pump,steam,tire,waffle,3,___ iron
griddle,kettle,pan,pot,0,found on a stove top
frill,fringe,ruffle,trim,1,ornamental border
lay,place,put,set,2,"deposit, with “down”"
geez,seize,tease,wise,3,words that sound like plural letters
banner,billboard,poster,sign,0,advertising format
first,initial,maiden,premier,1,inaugural
back,champion,endorse,support,2,advocate for
here,theme,use,wee,3,pronoun plus “e”
drain,duct,pipe,sewer,0,conduits for water removal
cheese,corn,sap,schmaltz,1,food products associated with sentimentality
egg,knuckles,smile,window,2,things to crack
chump,climate,loose,sea,3,___ change
exploit,leverage,milk,use,0,take advantage of
done,over,through,up,1,"finished, as time"
city,copy,culture,sports,2,newspaper desks
heyday,hijinks,supper,yogurt,3,words beginning with greetings
head,knees,shoulders,toes,0,"body parts in “head, shoulders, knees and toes”"
auto,ride,wheels,whip,1,"car, informally"
pares,peels,shells,shucks,2,removes the covering of
bees,caffeine,gossip,intercoms,3,“buzzy” things
bit,dash,pinch,touch,0,smidgen
buy,deal,steal,value,1,bargain
ball,chalk,cue,rack,2,billiards equipment
face,mac,match,pocket,3,___book (that’s not a book)
charm,hex,magic,spell,0,sorcerer’s output
instrument,pawn,puppet,tool,1,one being manipulated
cape,mask,tights,underwear,2,classic superhero wear
bay,carpenter,scott,woo,3,action movie directors
flush,loaded,rich,wealthy,0,affluent
chop,cube,dice,mince,1,cut into pieces
square,straight,stuffy,traditional,2,old-fashioned
bury,current,leachy,pair,3,fruit homophones
bulldog,catfish,horsefly,turtledove,0,animals whose names are two animals
dogleg,hairpin,switchback,zag,1,sharp turns
categories,charades,fishbowl,werewolf,2,classic party games
clock,mattress,mousetrap,trampoline,3,things with spring/s
base,dirty,low,vile,0,corrupt
contact,message,ping,text,1,reach out to
fruit,pitcher,skull,tablecloth,2,classic still life components
batter,can,garden,pong,3,beer ___
pic,shot,snap,still,0,photo
cinch,ice,lock,secure,1,"assure, as a victory"
breeze,coast,glide,sail,2,move in an effortless way
picnic,security,throw,wet,3,___ blanket
act,bill,measure,resolution,0,bit of legislation
meadow,plain,prairie,savanna,1,grassland
direct,frank,open,straight,2,forthright
aura,buck,doge,hoda,3,car companies minus letter
draft,outline,plan,sketch,0,early iteration
dine,feast,feed,sup,1,enjoy a meal
ella,me,sus,yo,2,spanish pronouns/possessives
fit,jim,pickings,shady,3,slim ___
brand,collection,label,line,0,fashion designer's output
dodge,hide,hop,tag,1,playground verbs
bunny,duck,martian,pig,2,looney tunes figures
greece,hare,katz,maim,3,homophones of musicals
kid,needle,rib,tease,0,playfully poke fun at
chuck,flank,loin,round,1,cuts of beef
mia,omg,pin,ram,2,acronyms/initialisms
libre,mama,mule,sling,3,cocktails minus place names
headliner,lead,principal,star,0,one with top billing
cross,garlic,silver,sun,1,vampire vulnerabilities
cracked,lampoon,mad,onion,2,"satirical publications, familiarly"
med,music,sandwich,soda,3,club ___
brass,cheek,gall,nerve,0,chutzpah
collar,halter,harness,lead,1,accessories for dog walking
carousel,globe,record,top,2,things that spin
ferry,mercury,nicks,plant,3,lead singers of ’70s rock bands
cap,cork,lid,tab,0,container closures
period,spell,stretch,time,1,duration
check,contain,curb,limit,2,regulate
bill,egg,fur,venom,3,trademarks of a platypus
brick,cherry,rose,ruby,0,shades of red
drop,splash,spot,sprinkle,1,little bit of a beverage
best,cream,pick,top,2,choicest
bird,bubble,mud,sponge,3,___ bath
bun,hero,roll,wrap,0,deli bread options
chops,kisser,trap,yap,1,slang for mouth
bob,clap,snap,tap,2,keep rhythm with music
applause,drinks,funding,golf,3,round of ___
couple,join,link,tie,0,connect
bother,handful,pain,pest,1,nuisance
few,many,several,some,2,quantity words
fool,lovers,magician,tower,3,"tarot cards, with “the”"
benefit,fruit,return,reward,0,something gained from hard work
egg,everything,plain,poppy,1,kinds of bagels
act,direct,produce,write,2,contribute to a movie
frank,mum,vamp,were,3,starts of monsters
fancy,love,relish,savor,0,enjoy
like,literally,um,well,1,filler words
cylinder,pin,spring,tumbler,2,components of a lock
carrot,hurts,jewel,om,3,homophones of units of measure
bar,club,disco,lounge,0,nightspots
ditch,drop,lose,shed,1,cast off
fathom,foot,league,yard,2,units of length
bake,clearance,garage,sample,3,___ sale
ace,crackerjack,expert,hotshot,0,highly skilled
chock,jack,tire,wrench,1,used to fix a flat
gladiator,her,joker,signs,2,joaquin phoenix movies
popcorn,rapture,rocketry,soulmate,3,words starting with music genres
button,fly,pocket,rivet,0,features on a pair of jeans
line,plane,point,solid,1,"objects in 0-, 1-, 2- and 3-dimensional space"
file,history,view,window,2,web browser menus
animal,door,kink,supreme,3,member of a ’60s band
aioli,barbecue,marinara,ranch,0,dipping sauces
examine,grill,probe,question,1,interrogate
bill,invoice,receipt,statement,2,transaction record
ancestry,broth,cattle,merchandise,3,what “stock” might mean
bridge,crunch,dip,squat,0,exercises
bounty,cowboy,duel,saloon,1,featured in westerns
carter,gore,king,tutu,2,leaders who received the nobel peace prize
busy,honey,queen,spelling,3,___ bee
deep,extreme,fierce,intense,0,"passionate, as a feeling"
bump,butt,knock,ram,1,bang into
fuzz,noise,snow,static,2,analog tv interference
bloody,hail,proud,virgin,3,___ mary
accept,believe,buy,swallow,0,trust as real
outage,short,spike,surge,1,power issues
abstract,brief,digest,outline,2,summary
curt,hairy,kneel,wane,3,name homophones
elegance,grace,style,taste,0,refined sensibility
bake,bask,sun,tan,1,catch some rays
affect,impact,move,touch,2,emotionally sway
sen,sight,sine,sour,3,numbers with first letters replaced by “s”
